EMOTION,TRANSCRIPTION
neu, Excuse me.
neu, Yeah.
neu, Is there a problem?
neu, Well what's the problem?  Let me change it.
ang, That's out of control.
ang, I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.
neu," Clearly.  You know, do you have like a supervisor or something?"
ang, Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.
sad, Did you get the mail? So you saw my letter?
sad, Yeah.  I know.
sad," I don't understand.  You've already done so much, I don't know why do you have to go back."
sad, I don't know.  I put in that. request too. They didn't...
neu," I guess, you know, everybody has to make sacrifices."
sad," There's people that have given more though, you know?"
sad, I know.
neu," There's babies over there, though, that need mothers."
sad, I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.
sad," Just, you know, kicking myself."
sad, things just aren't what they seem.
sad, I just don't see why it has to be you.
sad," If not me then, who?"
sad, What am I going to do? Huh?
sad," You'll videotape everything, yeah?"
sad, Yeah.
sad," Maybe you can send it to me, like stream it, yeah?"
neu, Don't you guys have access to computers over there.
sad, Last month--  Yeah.
sad, I just don't know how I'm going to do it without you.
neu, I have to find sitters.
sad, I can't raise a baby by myself.  How?
sad," We've got friends, that's why we moved here, huh?  Because there is a day care down the street."
neu, I know.
neu, And your mother is close by.
sad, I'll send you lots of letters.
sad, And I want lots and lots and lots of pictures.
neu, So what's up?  What's new?
hap, Well Vegas was awesome.
neu, Yeah.  I heard.
hap," And, um, I got married."
hap, Yeah.  In the old town part.
hap, Who did you marry?
hap, Um- Yes.  It was very romantic.
hap, It was at the slot machines.
hap," Uhuh, uhuh.  He won big and he-and he realized that the only thing that would make it better was me as his bride."
neu, He turned to you and was like...
hap, [LAUGHTER] That's really romantic.
hap," Yeah.  Well.  You know, because he's leaving the next day."
neu, Yeah.
hap, But we're going to have a honeymoon cruise.
neu," Does that mean that you're going to get citizenship, too, in- in England or whatever?"
hap, Oh.  I hadn't even thought about that.
neu, Yeah.  But he'll have like a long visa.  Can you go visit then for a long time?
hap, Oh.  Totally.
hap, I guess I'll-  I guess I'll have an internet husband.[LAUGHTER]
hap, Like you need another one of those.[LAUGHTER]
hap, Is that your phone?
hap," Yeah, so [LAUGHTER] He's calling me now"
hap, He loves you.
hap," He likes to keep tabs, you know."
neu, How much did he win at the slot?
neu," Uh, I think seven hundred and fifty dollars."
neu, Penny slots. That's what he plays.
neu, Yeah.
neu, I'm a big fan of the Wheel of Fortune quarters. But it just costs so much.  I don't know.
hap, Yeah.  We played Wheel of Fortune pennies.  It's like a giant thing with like-
neu," But the pennies always get you because you end up spending like, you know, fifty bucks."
neu, Fifty bucks. Mmhmm.
neu," like, wait, but it's just pennies.  You're like, wait a minute I'm on to you."
neu, Yeah.
hap, Well so now we're married. We have cat children.
hap, Awesome.
hap, [LAUGHTER] Cat babies.
hap," We renamed Brenda, Lumber Janet."
neu, That's fair enough.
hap, She needs a new name each state that we go into. [LAUGHTER]
neu," Have you tried, uh, Craig's List?"
neu," Uh, what?  Craig's List?  Oh the internet thing?"
neu, Yeah.
neu, I don't know.  Isn't that-- that's all like escort services and things like that.
neu, No.  There's regular jobs on there.
neu, Uh huh.
neu, I'm just saying I have a friend that got a good job on it so I was just recommending it.
neu, He's like a manager for a theatre.
neu, He's like a house manager. Yeah.  It's a good job.
neu, He just...
neu, you know what?  I heard about that job.  I applied for that.
neu, You did?
neu, Yeah.
neu, You've been looking for a job for a long time; that was a long time ago.  Right?
neu, Yeah.
neu, Hmm.
neu, I don't know.  He had a really good resume I guess and--
neu, Yeah.  Do you have a resume?
neu, It's kind of helpful when getting a job.
neu, I just- I mean I call people up and I tell them what I'm good at.
neu, Well maybe we should sit down some time and you can just tell me all the stuff that you have done and I'll write it out.
neu, Yeah.
neu," No.  You can- or you can just bring it in person.  But they need, generally, something to see, you know, what kind of what that you've done, what kind of--"
neu," Yeah.  But the piece of paper helps, too."
neu," No.  But it has an outline, you know."
neu," I know.  Okay.  Well, um. Maybe--"
neu, Yeah.
neu," Okay, yeah.  I would imagine."
neu," Well, sometimes you have to do things that you don't necessarily like to do to have a job. But the job affords you money, you won't have to be taking the bus right now."
neu, maybe get a car.
neu," I just, you know, think you should try a little harder maybe."
neu, I didn't say that.
neu," I am riding the bus, but by choice."
neu," To save the environment, carpool."
neu, Yes.  One less car at a time.
neu, Mmhmm.
ang, I'm not frustrated.
ang, Who do you think you are?
neu, I don't think I'm anyone.
ang, You are so high and mighty.  I just--
neu, I- I-I didn't-- okay.
ang, Oh.  I'm saving the environment. I'm riding this car because I- I want to.
ang," The bus, I'm riding the bus because I want to."
ang, I can not-- you are not here by choice.  Nobody would ride this bus by choice.
neu, Hi.  Thanks for waiting.
hap, Can I help you?
hap, Uh huh.
neu, Okay.
neu, Okay.
neu, Okay.  Great.  I'm really sorry that you had to do that.  What's your last name?  Let's start there.
neu, Okay.
neu, all right- okay.  And you lost your bag? Is that- that the issue?
ang, Flight seven fourteen.
neu, Uh-huh.
ang," Am I going to be getting, like, free tickets, free mileage. When can I expect my bag here?"
neu," Yeah. Yeah, I don't see- I don't see any--"
neu," I don't see any record of it, and I-usually when I don't see a record of it, that means um-"
neu," we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again..."
neu," for such an inconvenience and your bag, but"
ang, Is this a joke?
neu, Yeah.
neu," No, no."
ang," Are there candid cameras?  Is this that movie? There's that show, right?  Airplane, airline."
neu," No, no.  This is real."
neu," No.  I'm just giving you money, the bag is gone.  If it's not here, I'm really sorry there is nothing I can do because..."
neu, this is the only track record that we have and if it's not listed here then it's probably not anywhere.
ang," You're kidding me, this is a joke."
ang, Do you have any idea-- fifty dollars?  That's supposed to replace everything that I have?  Do you understand how much I have packed in there? Not only does it have sentimental value; it can't be replaced like that.  It was incredibly expensive.
neu, Yes.
neu, I know.
ang, We flew in from Paris.  I've been shopping for three weeks.
ang, I don't care what you're freaking sign says.  Somebody- Somebody needs to replace everything I've got there and give me money for my inconvenience.
neu, Okay. Calm-
neu," Actually, we are not necessarily liable to give you- to even give you this fifty dollars so... it's actually- it's actually really"
ang, Do you understand who my husband is?
ang," If you're- if you're- if you're looking for a lawsuit, baby, you've found it."
neu," We are actually not even allowed--  you know, like we don't have to give you this fifty dollars.  We don't have to do that."
ang, Oh-Oh.  It's a gift.  You're-You're helping me out here?
neu, It's a gift.
neu," You know, the airlines can not be held responsible for every bag of luggage that comes through here."
ang, You are cruising for a bruising.  You are in so much trouble.
neu, With the amount of--
ang, Who's in charge?  Who is the president of Jet Blue?
neu," Um, actually, I don't know. I don't know. Oh really?"
ang, Because I probably know him.
ang, Yeah.
neu, Well then maybe you can just call him and he can give you more money.  But right now all I can do--
ang," I don't want money, I want my clothes."
neu," Right now all I can do is just give you this fifty dollars, I'm really sorry."
ang, What's your name?
neu, Oh.  My name is Sean. Hi.
ang, Okay.  I'll do that.
ang, I don't think you have done everything you could do because I don't have my bag here yet.
neu," If you want, you can write a letter.  I can give you the address. Yes.  An angry--"
ang, A letter? I'll make a personal phone call.
neu," Or you can make a phone call.  But I think a letter might be a little more-- in my impression, letters have more..."
sad," I'm sorry, Joy."
neu, Is there anything I can get you?  Do you want me to take care of anything for you or...?
neu, ...pick up anything?
sad, No.
sad, You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.
neu, That's sweet.
neu, Thank you.
sad, I went to see her headstone a week or two ago.
sad," I used to go to cemeteries a lot before she died.  I just, you know, I felt like they were urban oasis, you know, there is always this green in the city."
neu, Hmm.
sad, So I was like wandering around before.  It takes forever to find her headstone; I always lose it. You know.
sad, So I was looking at this other one and there was like a piece of candy there and I thought that I would take the candy and put it on her headstone.  And-
neu," this woman came up and, you know, it was hers. It was her person that was there."
neu, Oh.  She was there?
