TRANSCRIPTION,EMOTION
 Excuse me.,neu
 Yeah.,neu
 Is there a problem?,neu
 You did.,xxx
 You were standing at the beginning and you directed me.,xxx
 Well what's the problem?  Let me change it.,neu
 What?  I'm getting an ID.  This is why I'm here.  My wallet was stolen.,fru
 How am I supposed to get an ID without an ID?  How does a person get an ID in the first place?,fru
 I'm here to get an ID.,fru
 Like what?  Like a birth certificate?,fru
 Who the hell has a birth certificate?,xxx
" Yes but my wallet was stolen, I don't have anything.  I don't have any credit cards, I don't have my ID.  Don't you have things on file here?",fru
 That's out of control.,ang
 How long have you been working here?,fru
" Clearly.  You know, do you have like a supervisor or something?",neu
 That would - I would appreciate that.  Yeah.,fru
 Do you have your forms?,fru
 Let me see them.,fru
 Who told you to get in this line?,fru
 Okay. But I didn't tell you to get in this line if you are filling out this particular form.,fru
 This form is a Z.X.four.,fru
" You can't--  This is not the line for Z.X.four.  If you're going to fill out the Z.X.four, you need to have a different form of ID.",fru
 No. I need another set of ID to prove this is actually you.,fru
 I don't know.  But I need an ID to pass this form along.  I can't just send it along without an ID.,fru
" No.  I need another ID, a separate one.",fru
" A birth certificate, a passport...a student ID; didn't you go to school?  Anything?",fru
" Yeah.  We keep it on file, but we need an ID to access that file.",fru
 I don't understand why this is so complicated for people when they get here.  It's just a simple form.  I just need an ID.,ang
 Actually too long.,xxx
 Yeah.  Do you want to see my supervisor?  Huh? Yeah.  Do you want to see my supervisor?  Fine.  I'll be right back.,ang
 Did you get the mail? So you saw my letter?,sad
 Yeah.  I know.,sad
 I don't know.  I put in that. request too. They didn't...,sad
" I guess, you know, everybody has to make sacrifices.",neu
" There's people that have given more though, you know?",sad
 I know.,sad
" There's babies over there, though, that need mothers.",neu
" I'm not okay with it, but I don't-- it's not like I have a choice.  I don't see what crying about it is going to fix.",xxx
" Just, you know, kicking myself.",sad
 like you sign up because you need money and,xxx
 things just aren't what they seem.,sad
" We're doing the right thing, though.",xxx
" If not me then, who?",sad
" You'll videotape everything, yeah?",sad
" Maybe you can send it to me, like stream it, yeah?",sad
 Last month--  Yeah.,sad
 I have to find sitters.,neu
" We've got friends, that's why we moved here, huh?  Because there is a day care down the street.",sad
 And your mother is close by.,neu
 I'll send you lots of letters.,sad
 And I want lots and lots and lots of pictures.,sad
 It's not fair.,xxx
" I don't understand.  You've already done so much, I don't know why do you have to go back.",sad
" I don't know, it's just not fair.  I think you've already made your sacrifice.",xxx
 I just don't see how they can make you leave when you have a new baby - we have a new kid.,fru
 Then why is that fair?  Why--,xxx
 I don't know how you can be okay with this?  I don't know why you're not-- you're fine with it.,sad
 I'm just trying to think of another way.  I'm just trying to...,xxx
 This is a stupid war.,xxx
 I know.,fru
 I just don't see why it has to be you.,sad
 What am I going to do? Huh?,sad
 Yeah.,sad
